"(gt_token, pred_token)",count
"('ु', 'ू')",12
"('िं', 'ि')",5
"('न', 'त')",4
"('ू', 'ु')",4
"('ड', 'उ')",4
"('ी', 'ा')",4
"('ा', 'ां')",3
"('ठ', 'ट')",3
"('ा', 'ो')",2
"('च', 'व')",2
"('ा', '़')",2
"('य', 'प')",2
"('फ', 'क')",2
"('ो', 'ी')",2
"('ल', 'न')",2
"('प', '�')",2
"('य', 'म')",2
"('ो', 'ा')",2
"('ः', ':')",2
"('ँ', 'ं')",2
"('ा', '्')",2
"('व', 'ध')",2
"('व', 'च')",2
"('ट', 'ठ')",2
"('म', 'स')",2
"('व', 'वन')",2
"('ा', 'ि')",2
"('म', 'य')",2
"('्', 'एक')",2
"('व', 'वस')",2
"('म', 'प')",2
"('.', 'ा')",1
"('ल', 'लम')",1
"('्', 'ा')",1
"('य', 'व')",1
"('ं', 'ा')",1
"('क', 'कम')",1
"('व', 'वल')",1
"('ाँ', 'ां')",1
"('द', 'छ')",1
"('स', 'म')",1
"('\\', '.')",1
"('ी', 'ि')",1
"('ल', 'ब')",1
"('झ', 'ड')",1
"('ध', 'घ')",1
"('ु', '्')",1
"('तर', 'त')",1
"('ष', 'व')",1
"('ध', 'थ')",1
"('मल', 'म')",1
"('ट', 'द')",1
"('ै', 'िं')",1
"('ि', 'नक')",1
"('उ', 'ड')",1
"('पस', 'प')",1
"('वस', 'ष')",1
"('न', 'म')",1
"('च', 'घ')",1
"('ा', 'त')",1
"('ग', 'ज')",1
"('त', 'स')",1
"('्', 'ि')",1
"('उन', '�')",1
"('र', 'ई')",1
"('ां', 'ा')",1
"('श', 'ण')",1
"('ग', 'र')",1
"('ीं', 'ी')",1
"('पर', 'य')",1
"('द', 'व')",1
"('्', 'म')",1
"('ष', 'ब')",1
"('ङ', 'ड')",1
"('्', 'भ')",1
"('ौ', 'ौं')",1
"('ल', 'भन')",1
"('छ', 'ि')",1
"('व', 'वक')",1
"('ो', 'े')",1
"('.', 'च')",1
"('व', 'ि')",1
"('ज', 'त')",1
"('�', 'ि')",1
"('ख', 'र')",1
"('भ', 'स')",1
"('ञ', 'आ')",1
"('ौ', 'ो')",1
"('ः', 'रल')",1
"('ा', 'ह')",1
"('य', 'यह')",1
"('उ', 'ा')",1
"('ड', 'उन')",1
"('ु', 'ुँ')",1
"('स', 'सर')",1
"('न', 'ण')",1
"('ख', 'रव')",1
"('ह', 'ड')",1
"('ज', 'स')",1
"('प', 'पम')",1
"('य', 'च')",1
"('.', 'द')",1
"('ढ', 'ह')",1
"('क', 'त')",1
"('म', 'न')",1
"('ृ', 'ट')",1
"('र', 'व')",1
"('ज', 'न')",1
"('ज', 'ा')",1
"('ि', 'िं')",1
"('गर', 'र')",1
"('श', 'एर')",1
"('व', 'ब')",1
"('स', 'य')",1
"('श', 'अ')",1
"('ा', 'ः')",1
"('्', 'ं')",1
"('ं', 'छ')",1
"('य', 'ग')",1
"('ँ', 'ै')",1
"('ं', 'म')",1
"('ाँ', 'ा')",1
"('द', '्')",1
"('य', 'ष')",1
"('ल', 'लक')",1
"('्', 'ु')",1
"('मह', 'मद')",1
"('ल', 'प')",1
"('द', 'उ')",1
"('ि', 'ी')",1
"(':', '.')",1
"('�', 'अ')",1
"('पन', 'घ')",1
"('वस', 'व')",1
"('न', 'ह')",1
"('व', 'ज')",1
"('घ', 'द')",1
"('आ', '�')",1
"('च', 'त')",1
"('भ', 'भय')",1
"('्', 'त')",1
"('ण', 'र')",1
"('ज', 'जन')",1
"('प', 'पर')",1
"('व', 'ठ')",1
"('ं', 'क')",1
"('.', 'म')",1
"('भन', 'मन')",1
"('छ', 'द')",1
"('इन', 'ई')",1
"('स', 'सक')",1
"(':', 'ो')",1
"('ा', 'क')",1
"('क', 'फ')",1
"('ट', 'उन')",1
"('न', '�')",1
"('�', '��')",1
"('म', 'मन')",1
"('त', 'न')",1
"('र', 'रत')",1
"('यस', 'पस')",1
"('ञ', '�')",1
"('सन', 'स')",1
"('ह', 'े')",1
"('.', 'े')",1
"('े', 'ि')",1
"('र', 'त')",1
"('र', '।')",1
"('ल', 'र')",1
"('ा', 'ी')",1
"('ा', 'ं')",1
"('कर', 'क')",1
"('प', 'ग')",1
"('ह', 'द')",1
"('ि', '्')",1
"('क', 'कर')",1
"('ै', 'े')",1
"('न', 'नम')",1
"('र', 'म')",1
"('.', 'ु')",1
"('तम', 'तस')",1
"('ै', 'भ')",1
"('/', '।')",1
"('अ', 'श')",1
"('न', '्')",1
"('त', 'क')",1
"('त', 'ल')",1
"('भ', 'म')",1
"('व', 'क')",1
"('प', 'य')",1
"('नन', 'न')",1
"('ौं', 'ौ')",1
"('ग', 'गर')",1
