page,image_path,ground_truth,prediction,cer,gt_words,pred_words,gt_lemmas,pred_lemmas,gt_word_count,pred_word_count,gt_coverage,pred_coverage,coverage_delta,lost_word_count,gained_word_count,lost_lemmas,gained_lemmas,lost_words,gained_words,dict_matches_gt,dict_matches_pred,dict_coverage_gt,dict_coverage_pred
,data/oldNepali_fullset/oldNepali/images/DNA_0012_0638/eSc_line_d107da76.png,हाये\,हाये\,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0
,data/oldNepali_fullset/oldNepali/images/DNA_0013_0376/eSc_line_368ddd08.png,श्रीदुर्गासहाय\,श्रीदुर्गासहाय.\,0.0666666701436042,,,,,0,0,0.0,0.0,0.0,0,0,,,,,सहाय,सहाय,0.26666666666666666,0.25
,data/oldNepali_fullset/oldNepali/images/DNA_0013_0160/eSc_line_49511b8c.png,तयदुनाथपंडितअर्ज्यालपानिहालन्याश्रीजनरलभीमसेनथापासाधलाउन्यासधियारमोदनाथअर्ज्यालमेघनाथपाडेव्राह्मणटोलकोअमितसिंडगोल,तपठुनापंडित‌अर्ज्यालपानिहालन्याश्रीजनरलभीमसिन्नधायासाधलाउन्यासधियारमोहनापञ्यालसेचनाथयाडेज्राहाराटोलकोआमिजासिंडगोला,0.2300885021686554,पंडित|अर्ज्याल|हालन्या|जनरल|लाउन्या|अर्ज्याल|व्राह्मण|डगोल,अर्ज्याल|हालन्या|जनरल|लाउन्या,पण्डित|अर्ज्याल|हाल्नु|जनरल|लाउनु|अर्ज्याल|ब्राह्मण|डङ्गोल,अर्ज्याल|हाल्नु|जनरल|लाउनु,8,4,0.4513274336283185,0.2280701754385964,0.223257258189722,3,0,डङ्गोल|पण्डित|ब्राह्मण,,डगोल|पंडित|व्राह्मण,,भीमसेनथापा|अमित,मोहना,0.12389380530973451,0.043859649122807015
,data/oldNepali_fullset/oldNepali_100/images/DNA 2_00000264_result/eSc_line_4c03d4cc.png,मकोवक्साजायेकेगुलाम‌अपनेहक्‌मतलव्‌कोपहुचेआगेगुलामषा,मकोवक्साजायेकेगुलाम‌अपनेहक्‌मतलव्‌कोपहुचेआगेगुलामषा,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,,गुलाम,गुलाम,0.09803921568627451,0.09803921568627451
,data/oldNepali_fullset/oldNepali/images/DNA_0001_0367/eSc_line_65e0445f.png,भयाकाछन्भनि.ठोपिप्रेन्सिप्‌साहव.तेश्राकौसलिले.हाफिजअहमदकवि,भयाकाछन्भनि. ठोपिप्रेन्सिप्‌साहव.तेश्राकौसलिले. हाफिजअहमदकवि,0.0344827584922313,भयाका|साहव|कौसलि,भयाका|साहव|कौसलि,हुनु|साहेब|कौसलि,हुनु|साहेब|कौसलि,3,3,0.2413793103448276,0.2333333333333333,0.0080459770114942,0,0,,,,,हाफिज|मदक,हाफिज|मदक,0.13793103448275862,0.13333333333333333
,data/oldNepali_fullset/oldNepali/images/CA__The Cambridge Manuscript_Page_009/eSc_line_be8a1544.png,मिमागया.आर्यावलोकितेश्वरलेआज्ञाभयावमोजीम्.ताहावसीरह्याकोघोडाजो.वालाहनाम.अश्वराजलाई,मिमागया.आर्यावलोकितेश्वरलेआज्ञाभयावमोजीम्.ताहावसीरह्याकोद्योडाजो.वालाहनाम.अश्वराजलाई,0.0365853644907474,वमोजीम्|रह्याको,वमोजीम्|रह्याको,बमोजिम|रहनु,बमोजिम|रहनु,2,2,0.1707317073170731,0.1666666666666666,0.0040650406504065,0,0,,,,,,,0.0,0.0
,data/oldNepali_fullset/oldNepali/images/CA__The Cambridge Manuscript_Page_022/eSc_line_8d7b8df0.png,ले.पानिथुनीदियो.उसवषत्.त्योमंजुपत्तनसहरवासीभया.सांकाश्यानगरवासीभया.विशालनगर,ले.पानिथुनीदियो.उस् वषत.त्योमंजुपत्तनसहरवासीभया.सांकाश्यानगरवासीभया.विशालनगर,0.0399999991059303,वषत्|सहर|नगर|नगर,वषत|सहर|नगर|नगर,बखत|सहर|नगर|नगर,बखत|सहर|नगर|नगर,4,4,0.1733333333333333,0.1578947368421052,0.015438596491228,1,1,,,वषत्,वषत,पत्तन|विशाल,पत्तन|विशाल,0.13333333333333333,0.13157894736842105
,data/oldNepali_fullset/oldNepali_100/images/CA__The Cambridge Manuscript_Page_034/eSc_line_db42b8c4.png,गोपालानांक्रमेणराज्यभोगंप्रसास॥ ॥श्रीपशुपतिनाथकोअघिकोलिंगाकारदेवालयभत्‌कीछोपीरहदा.द्वा,गोपालानांक्रमेणराज्यभोगंप्रसास॥ ॥श्रीपशुपतिनाथकोअघिकोलिगाकारदेवालयभत्‌कीछोपीरहदा.द्वा,0.0116279069334268,रहदा,रहदा,रहनु,रहनु,1,1,0.0465116279069767,0.0470588235294117,-0.000547195622435,0,0,,,,,पशुपतिनाथ|देवालय,पशुपतिनाथ|देवालय,0.1744186046511628,0.17647058823529413
,data/oldNepali_fullset/oldNepali_100/images/CA__The Cambridge Manuscript_Page_024/eSc_line_f1f1719c.png,२४,२४,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0
,data/oldNepali_fullset/oldNepali/images/DNA_2_00000365_result/eSc_line_5ce9c051.png,नं.१७८,नं.१८,0.1666666716337204,,,,,0,0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0
