page,image_path,ground_truth,prediction,cer,cer_norm,gt_words,pred_words,gt_lemmas,pred_lemmas,gt_word_count,pred_word_count,gt_coverage,pred_coverage,coverage_delta,lost_word_count,gained_word_count,lost_lemmas,gained_lemmas,lost_words,gained_words
,data/oldNepali_fullset/oldNepali/images/DNA_0012_0638/eSc_line_d107da76.png,हाये\,हाये\,0.0,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,
,data/oldNepali_fullset/oldNepali/images/DNA_0013_0376/eSc_line_368ddd08.png,श्रीदुर्गासहाय\,श्रीदुर्गासहाय.\,0.0666666701436042,0.0666666701436042,,,,,0,0,0.0,0.0,0.0,0,0,,,,
,data/oldNepali_fullset/oldNepali/images/DNA_0013_0160/eSc_line_49511b8c.png,तयदुनाथपंडितअर्ज्यालपानिहालन्याश्रीजनरलभीमसेनथापासाधलाउन्यासधियारमोदनाथअर्ज्यालमेघनाथपाडेव्राह्मणटोलकोअमितसिंडगोल,तपठुनापंडितअर्ज्यालपानिहालन्याश्रीजनरलभीमसिन्नधायासाधलाउन्यासधियारमोहनापञ्यालसेचनाथयाडेज्राहाराटोलकोआमिजासिंडगोला,0.2300885021686554,0.2212389409542083,पंडित|अर्ज्याल|हालन्या|जनरल|लाउन्या|अर्ज्याल|व्राह्मण|डगोल,पंडित|अर्ज्याल|हालन्या|जनरल|लाउन्या,पण्डित|अर्ज्याल|हाल्नु|जनरल|लाउनु|अर्ज्याल|ब्राह्मण|डङ्गोल,पण्डित|अर्ज्याल|हाल्नु|जनरल|लाउनु,8,5,0.45132743362831856,0.2743362831858407,0.17699115044247787,2,0,डङ्गोल|ब्राह्मण,,डगोल|व्राह्मण,
,data/oldNepali_fullset/oldNepali_100/images/DNA 2_00000264_result/eSc_line_4c03d4cc.png,मकोवक्साजायेकेगुलामअपनेहक्मतलव्कोपहुचेआगेगुलामषा,मकोवक्साजायेकेगुलामअपनेहक्मतलव्कोपहुचेआगेगुलामषा,0.0,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,
,data/oldNepali_fullset/oldNepali/images/DNA_0001_0367/eSc_line_65e0445f.png,भयाकाछन्भनि.ठोपिप्रेन्सिप्साहव.तेश्राकौसलिले.हाफिजअहमदकवि,भयाकाछन्भनि.ठोपिप्रेन्सिप्साहव.तेश्राकौसलिले.हाफिजअहमदकवि,0.0344827584922313,0.0,भयाका|कौसलि,भयाका|कौसलि,हुनु|कौसलि,हुनु|कौसलि,2,2,0.17543859649122806,0.17543859649122806,0.0,0,0,,,,
,data/oldNepali_fullset/oldNepali/images/CA__The Cambridge Manuscript_Page_009/eSc_line_be8a1544.png,मिमागया.आर्यावलोकितेश्वरलेआज्ञाभयावमोजीम्.ताहावसीरह्याकोघोडाजो.वालाहनाम.अश्वराजलाई,मिमागया.आर्यावलोकितेश्वरलेआज्ञाभयावमोजीम्.ताहावसीरह्याकोद्योडाजो.वालाहनाम.अश्वराजलाई,0.0365853644907474,0.0365853644907474,वमोजीम्|रह्याको,वमोजीम्|रह्याको,बमोजिम|रहनु,बमोजिम|रहनु,2,2,0.17073170731707318,0.16666666666666666,0.004065040650406526,0,0,,,,
,data/oldNepali_fullset/oldNepali/images/CA__The Cambridge Manuscript_Page_022/eSc_line_8d7b8df0.png,ले.पानिथुनीदियो.उसवषत्.त्योमंजुपत्तनसहरवासीभया.सांकाश्यानगरवासीभया.विशालनगर,ले.पानिथुनीदियो.उस्वषत.त्योमंजुपत्तनसहरवासीभया.सांकाश्यानगरवासीभया.विशालनगर,0.0399999991059303,0.0266666673123836,वषत्|सहर|नगर|नगर,सहर|नगर|नगर,बखत|सहर|नगर|नगर,सहर|नगर|नगर,4,3,0.17333333333333334,0.12,0.053333333333333344,1,0,बखत,,वषत्,
,data/oldNepali_fullset/oldNepali_100/images/CA__The Cambridge Manuscript_Page_034/eSc_line_db42b8c4.png,गोपालानांक्रमेणराज्यभोगंप्रसास॥॥श्रीपशुपतिनाथकोअघिकोलिंगाकारदेवालयभत्कीछोपीरहदा.द्वा,गोपालानांक्रमेणराज्यभोगंप्रसास॥॥श्रीपशुपतिनाथकोअघिकोलिगाकारदेवालयभत्कीछोपीरहदा.द्वा,0.0116279069334268,0.0119047621265053,रहदा,रहदा,रहनु,रहनु,1,1,0.047619047619047616,0.04819277108433735,-0.0005737234652897355,0,0,,,,
,data/oldNepali_fullset/oldNepali_100/images/CA__The Cambridge Manuscript_Page_024/eSc_line_f1f1719c.png,२४,२४,0.0,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,
,data/oldNepali_fullset/oldNepali/images/DNA_2_00000365_result/eSc_line_5ce9c051.png,नं.१७८,नं.१८,0.1666666716337204,0.1666666716337204,,,,,0,0,0.0,0.0,0.0,0,0,,,,
