page,image_path,ground_truth,prediction,cer,cer_norm,gt_words,pred_words,gt_lemmas,pred_lemmas,gt_word_count,pred_word_count,gt_coverage,pred_coverage,coverage_delta,lost_word_count,gained_word_count,lost_lemmas,gained_lemmas,lost_words,gained_words,gt_spans,pred_spans,dict_matches_gt,dict_matches_pred,dict_coverage_gt,dict_coverage_pred,gt_unmatched_text,pred_unmatched_text
,data/oldNepali_fullset/oldNepali/images/DNA_0012_0638/eSc_line_d107da76.png,हाये\,हाये\,0.0,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,,,,,,0.0,0.0,हाये\,हाये\
,data/oldNepali_fullset/oldNepali/images/DNA_0013_0376/eSc_line_368ddd08.png,श्रीदुर्गासहाय\,श्रीदुर्गासहाय.\,0.0666666701436042,0.0666666701436042,,,,,0,0,0.0,0.0,0.0,0,0,,,,,,,सहाय,सहाय,0.2666666666666666,0.25,श्रीदुर्गा--\,श्रीदुर्गा--.\
,data/oldNepali_fullset/oldNepali/images/DNA_0013_0160/eSc_line_49511b8c.png,तयदुनाथपंडितअर्ज्यालपानिहालन्याश्रीजनरलभीमसेनथापासाधलाउन्यासधियारमोदनाथअर्ज्यालमेघनाथपाडेव्राह्मणटोलकोअमितसिंडगोल,तपठुनापंडितअर्ज्यालपानिहालन्याश्रीजनरलभीमसिन्नधायासाधलाउन्यासधियारमोहनापञ्यालसेचनाथयाडेज्राहाराटोलकोआमिजासिंडगोला,0.2300885021686554,0.2212389409542083,पंडित|अर्ज्याल|हालन्या|जनरल|लाउन्या|अर्ज्याल|व्राह्मण|डगोल,पंडित|अर्ज्याल|हालन्या|जनरल|लाउन्या,पण्डित|अर्ज्याल|हाल्नु|जनरल|लाउनु|अर्ज्याल|ब्राह्मण|डङ्गोल,पण्डित|अर्ज्याल|हाल्नु|जनरल|लाउनु,8,5,0.4513274336283185,0.2743362831858407,0.1769911504424778,2,0,डङ्गोल|ब्राह्मण,,डगोल|व्राह्मण,,7-12|12-20|24-31|35-39|52-59|71-79|89-97|109-113,6-11|11-19|23-30|34-38|53-60,भीमसेनथापा|अमित,मोहना,0.1238938053097345,0.0442477876106194,तयदुनाथ------पानि--श्री----साध--सधियारमोदनाथ----मेघनाथपाडे--टोलको--सिं--,तपठुना----पानि--श्री--भीमसिन्नधायासाध--सधियार--पञ्यालसेचनाथयाडेज्राहाराटोलकोआमिजासिंडगोला
,data/oldNepali_fullset/oldNepali_100/images/DNA 2_00000264_result/eSc_line_4c03d4cc.png,मकोवक्साजायेकेगुलामअपनेहक्मतलव्कोपहुचेआगेगुलामषा,मकोवक्साजायेकेगुलामअपनेहक्मतलव्कोपहुचेआगेगुलामषा,0.0,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,,,,गुलाम|गुलाम,गुलाम|गुलाम,0.2083333333333333,0.2083333333333333,मकोवक्साजायेके----अपनेहक्मतलव्कोपहुचेआगे----षा,मकोवक्साजायेके----अपनेहक्मतलव्कोपहुचेआगे----षा
,data/oldNepali_fullset/oldNepali/images/DNA_0001_0367/eSc_line_65e0445f.png,भयाकाछन्भनि.ठोपिप्रेन्सिप्साहव.तेश्राकौसलिले.हाफिजअहमदकवि,भयाकाछन्भनि. ठोपिप्रेन्सिप्साहव.तेश्राकौसलिले. हाफिजअहमदकवि,0.0344827584922313,0.0350877195596694,भयाका|कौसलि,भयाका|कौसलि,हुनु|कौसलि,हुनु|कौसलि,2,2,0.175438596491228,0.1694915254237288,0.0059470710674992,0,0,,,,,0-5|37-42,0-5|38-43,हाफिज|मदक,हाफिज|मदक,0.1403508771929824,0.135593220338983,--छन्भनि.ठोपिप्रेन्सिप्साहव.तेश्रा--ले.--अह--वि,--छन्भनि. ठोपिप्रेन्सिप्साहव.तेश्रा--ले. --अह--वि
,data/oldNepali_fullset/oldNepali/images/CA__The Cambridge Manuscript_Page_009/eSc_line_be8a1544.png,मिमागया.आर्यावलोकितेश्वरलेआज्ञाभयावमोजीम्.ताहावसीरह्याकोघोडाजो.वालाहनाम.अश्वराजलाई,मिमागया.आर्यावलोकितेश्वरलेआज्ञाभयावमोजीम्.ताहावसीरह्याकोद्योडाजो.वालाहनाम.अश्वराजलाई,0.0365853644907474,0.0365853644907474,वमोजीम्|रह्याको,वमोजीम्|रह्याको,बमोजिम|रहनु,बमोजिम|रहनु,2,2,0.1707317073170731,0.1666666666666666,0.0040650406504065,0,0,,,,,34-41|49-56,34-41|49-56,,,0.0,0.0,मिमागया.आर्यावलोकितेश्वरलेआज्ञाभया--.ताहावसी--घोडाजो.वालाहनाम.अश्वराजलाई,मिमागया.आर्यावलोकितेश्वरलेआज्ञाभया--.ताहावसी--द्योडाजो.वालाहनाम.अश्वराजलाई
,data/oldNepali_fullset/oldNepali/images/CA__The Cambridge Manuscript_Page_022/eSc_line_8d7b8df0.png,ले.पानिथुनीदियो.उसवषत्.त्योमंजुपत्तनसहरवासीभया.सांकाश्यानगरवासीभया.विशालनगर,ले.पानिथुनीदियो.उस् वषत.त्योमंजुपत्तनसहरवासीभया.सांकाश्यानगरवासीभया.विशालनगर,0.0399999991059303,0.0399999991059303,वषत्|सहर|नगर|नगर,वषत|सहर|नगर|नगर,बखत|सहर|नगर|नगर,बखत|सहर|नगर|नगर,4,4,0.1733333333333333,0.1578947368421052,0.015438596491228,1,1,,,वषत्,वषत,18-22|36-39|56-59|72-75,20-23|37-40|57-60|73-76,पत्तन|विशाल,पत्तन|विशाल,0.1333333333333333,0.131578947368421,ले.पानिथुनीदियो.उस--.त्योमंजु----वासीभया.सांकाश्या----वासीभया.------,ले.पानिथुनीदियो.उस् --.त्योमंजु----वासीभया.सांकाश्या----वासीभया.------
,data/oldNepali_fullset/oldNepali_100/images/CA__The Cambridge Manuscript_Page_034/eSc_line_db42b8c4.png,गोपालानांक्रमेणराज्यभोगंप्रसास॥ ॥श्रीपशुपतिनाथकोअघिकोलिंगाकारदेवालयभत्कीछोपीरहदा.द्वा,गोपालानांक्रमेणराज्यभोगंप्रसास॥ ॥श्रीपशुपतिनाथकोअघिकोलिगाकारदेवालयभत्कीछोपीरहदा.द्वा,0.0116279069334268,0.0117647061124444,रहदा,रहदा,रहनु,रहनु,1,1,0.0470588235294117,0.0476190476190476,-0.0005602240896358,0,0,,,,,76-80,75-79,पशुपतिनाथ|देवालय,पशुपतिनाथ|देवालय,0.1764705882352941,0.1785714285714285,गोपालानांक्रमेणराज्यभोगंप्रसास॥ ॥श्री--कोअघिकोलिंगाकार--भत्कीछोपी--.द्वा,गोपालानांक्रमेणराज्यभोगंप्रसास॥ ॥श्री--कोअघिकोलिगाकार--भत्कीछोपी--.द्वा
,data/oldNepali_fullset/oldNepali_100/images/CA__The Cambridge Manuscript_Page_024/eSc_line_f1f1719c.png,२४,२४,0.0,0.0,,,,,0,0,0.0,0.0,0.0,0,0,,,,,,,,,0.0,0.0,२४,२४
,data/oldNepali_fullset/oldNepali/images/DNA_2_00000365_result/eSc_line_5ce9c051.png,नं.१७८,नं.१८,0.1666666716337204,0.1666666716337204,,,,,0,0,0.0,0.0,0.0,0,0,,,,,,,,,0.0,0.0,नं.१७८,नं.१८
